Bus Hound 6.01 capture on Windows XP Service Pack 3 (x86). Complements of www.perisoft.net

command

  Phase  - Phase Type
            IN    Data in transfer           
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Cmd... - Position in the captured data


Phase  Data                                                                                                    Cmd.Phase.Ofs(rep)
IN     05                                                                                                          3091.1.0        
IN     02                                                                                                          3092.1.0        
IN     17                                                                                                          3093.1.0        
IN     45                                                                                                          3094.1.0        
IN     53                                                                                                          3095.1.0        
IN     28                                                                                                          3096.1.0        
IN     00                                                                                                          3097.1.0(2)     
IN     05                                                                                                          3099.1.0        
IN     00                                                                                                          3100.1.0        
IN     ff                                                                                                          3101.1.0(9)     
IN     00                                                                                                          3109.1.0(5)     
IN     54                                                                                                          3115.1.0        
IN     0b                                                                                                          3116.1.0        
IN     0d                                                                                                          3117.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3118.1.0        
       01 0d                                                                                                       3118.1.32       
IN     7e                                                                                                          3119.1.0        
IN     9d                                                                                                          3120.1.0        
IN     32                                                                                                          3121.1.0        
IN     81                                                                                                          3122.1.0        
IN     10                                                                                                          3123.1.0        
IN     16                                                                                                          3124.1.0        
IN     04                                                                                                          3125.1.0        
IN     05                                                                                                          3126.1.0        
IN     02                                                                                                          3127.1.0        
IN     17                                                                                                          3128.1.0        
IN     45                                                                                                          3129.1.0        
IN     53                                                                                                          3130.1.0        
IN     28                                                                                                          3131.1.0        
IN     00                                                                                                          3132.1.0(2)     
IN     05                                                                                                          3134.1.0        
IN     00                                                                                                          3135.1.0        
IN     ff                                                                                                          3136.1.0(9)     
IN     00                                                                                                          3144.1.0(5)     
IN     54                                                                                                          3150.1.0        
IN     0b                                                                                                          3151.1.0        
IN     0d                                                                                                          3152.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3153.1.0        
       01 0d                                                                                                       3153.1.32       
IN     7e                                                                                                          3154.1.0        
IN     9d                                                                                                          3155.1.0        
IN     32                                                                                                          3156.1.0        
IN     81                                                                                                          3157.1.0        
IN     10                                                                                                          3158.1.0        
IN     16                                                                                                          3159.1.0        
IN     04                                                                                                          3160.1.0        
IN     05                                                                                                          3161.1.0        
IN     02                                                                                                          3162.1.0        
IN     17                                                                                                          3163.1.0        
IN     45                                                                                                          3164.1.0        
IN     53                                                                                                          3165.1.0        
IN     28                                                                                                          3166.1.0        
IN     00                                                                                                          3167.1.0(2)     
IN     05                                                                                                          3169.1.0        
IN     00                                                                                                          3170.1.0        
IN     ff                                                                                                          3171.1.0(9)     
IN     00                                                                                                          3179.1.0(5)     
IN     54                                                                                                          3185.1.0        
IN     0b                                                                                                          3186.1.0        
IN     0d                                                                                                          3187.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3188.1.0        
       01 0d                                                                                                       3188.1.32       
IN     7e                                                                                                          3189.1.0        
IN     9d                                                                                                          3190.1.0        
IN     32                                                                                                          3191.1.0        
IN     81                                                                                                          3192.1.0        
IN     10                                                                                                          3193.1.0        
IN     16                                                                                                          3194.1.0        
IN     04                                                                                                          3195.1.0        
IN     05                                                                                                          3196.1.0        
IN     02                                                                                                          3197.1.0        
IN     17                                                                                                          3198.1.0        
IN     45                                                                                                          3199.1.0        
IN     53                                                                                                          3200.1.0        
IN     28                                                                                                          3201.1.0        
IN     00                                                                                                          3202.1.0(2)     
IN     05                                                                                                          3204.1.0        
IN     00                                                                                                          3205.1.0        
IN     ff                                                                                                          3206.1.0(9)     
IN     00                                                                                                          3214.1.0(5)     
IN     54                                                                                                          3220.1.0        
IN     0b                                                                                                          3221.1.0        
IN     0d                                                                                                          3222.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3223.1.0        
       01 0d                                                                                                       3223.1.32       
IN     7e                                                                                                          3224.1.0        
IN     9d                                                                                                          3225.1.0        
IN     32                                                                                                          3226.1.0        
IN     81                                                                                                          3227.1.0        
IN     10                                                                                                          3228.1.0        
IN     16                                                                                                          3229.1.0        
IN     04                                                                                                          3230.1.0        
IN     05                                                                                                          3231.1.0        
IN     02                                                                                                          3232.1.0        
IN     17                                                                                                          3233.1.0        
IN     45                                                                                                          3234.1.0        
IN     56                                                                                                          3235.1.0        
IN     28                                                                                                          3236.1.0        
IN     00                                                                                                          3237.1.0(2)     
IN     05                                                                                                          3239.1.0        
IN     00                                                                                                          3240.1.0        
IN     ff                                                                                                          3241.1.0(9)     
IN     00                                                                                                          3249.1.0(5)     
IN     57                                                                                                          3255.1.0        
IN     0b                                                                                                          3256.1.0        
IN     0d                                                                                                          3257.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3258.1.0        
       01 0d                                                                                                       3258.1.32       
IN     7e                                                                                                          3259.1.0        
IN     9d                                                                                                          3260.1.0        
IN     32                                                                                                          3261.1.0        
IN     81                                                                                                          3262.1.0        
IN     10                                                                                                          3263.1.0        
IN     16                                                                                                          3264.1.0        
IN     04                                                                                                          3265.1.0        
IN     05                                                                                                          3266.1.0        
IN     02                                                                                                          3267.1.0        
IN     17                                                                                                          3268.1.0        
IN     45                                                                                                          3269.1.0        
IN     56                                                                                                          3270.1.0        
IN     28                                                                                                          3271.1.0        
IN     00                                                                                                          3272.1.0(2)     
IN     05                                                                                                          3274.1.0        
IN     00                                                                                                          3275.1.0        
IN     ff                                                                                                          3276.1.0(9)     
IN     00                                                                                                          3284.1.0(5)     
IN     57                                                                                                          3290.1.0        
IN     0b                                                                                                          3291.1.0        
IN     0d                                                                                                          3292.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3293.1.0        
       01 0d                                                                                                       3293.1.32       
IN     7e                                                                                                          3294.1.0        
IN     9d                                                                                                          3295.1.0        
IN     32                                                                                                          3296.1.0        
IN     81                                                                                                          3297.1.0        
IN     10                                                                                                          3298.1.0        
IN     16                                                                                                          3299.1.0        
IN     04                                                                                                          3300.1.0        
IN     05                                                                                                          3301.1.0        
IN     02                                                                                                          3302.1.0        
IN     17                                                                                                          3303.1.0        
IN     45                                                                                                          3304.1.0        
IN     56                                                                                                          3305.1.0        
IN     28                                                                                                          3306.1.0        
IN     00                                                                                                          3307.1.0(2)     
IN     05                                                                                                          3309.1.0        
IN     00                                                                                                          3310.1.0        
IN     ff                                                                                                          3311.1.0(9)     
IN     00                                                                                                          3319.1.0(5)     
IN     57                                                                                                          3325.1.0        
IN     0b                                                                                                          3326.1.0        
IN     0d                                                                                                          3327.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3328.1.0        
       01 0d                                                                                                       3328.1.32       
IN     7e                                                                                                          3329.1.0        
IN     9d                                                                                                          3330.1.0        
IN     32                                                                                                          3331.1.0        
IN     81                                                                                                          3332.1.0        
IN     10                                                                                                          3333.1.0        
IN     16                                                                                                          3334.1.0        
IN     04                                                                                                          3335.1.0        
IN     05                                                                                                          3336.1.0        
IN     02                                                                                                          3337.1.0        
IN     17                                                                                                          3338.1.0        
IN     45                                                                                                          3339.1.0        
IN     56                                                                                                          3340.1.0        
IN     28                                                                                                          3341.1.0        
IN     00                                                                                                          3342.1.0(2)     
IN     05                                                                                                          3344.1.0        
IN     00                                                                                                          3345.1.0        
IN     ff                                                                                                          3346.1.0(9)     
IN     00                                                                                                          3354.1.0(5)     
IN     57                                                                                                          3360.1.0        
IN     0b                                                                                                          3361.1.0        
IN     0d                                                                                                          3362.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3363.1.0        
       01 0d                                                                                                       3363.1.32       
IN     7e                                                                                                          3364.1.0        
IN     9d                                                                                                          3365.1.0        
IN     32                                                                                                          3366.1.0        
IN     81                                                                                                          3367.1.0        
IN     10                                                                                                          3368.1.0        
IN     16                                                                                                          3369.1.0        
IN     04                                                                                                          3370.1.0        
IN     05                                                                                                          3371.1.0        
IN     02                                                                                                          3372.1.0        
IN     17                                                                                                          3373.1.0        
IN     45                                                                                                          3374.1.0        
IN     58                                                                                                          3375.1.0        
IN     28                                                                                                          3376.1.0        
IN     00                                                                                                          3377.1.0(2)     
IN     05                                                                                                          3379.1.0        
IN     00                                                                                                          3380.1.0        
IN     ff                                                                                                          3381.1.0(9)     
IN     00                                                                                                          3389.1.0(5)     
IN     59                                                                                                          3395.1.0        
IN     0b                                                                                                          3396.1.0        
IN     0d                                                                                                          3397.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3398.1.0        
       01 0d                                                                                                       3398.1.32       
IN     7e                                                                                                          3399.1.0        
IN     9d                                                                                                          3400.1.0        
IN     32                                                                                                          3401.1.0        
IN     81                                                                                                          3402.1.0        
IN     10                                                                                                          3403.1.0        
IN     16                                                                                                          3404.1.0        
IN     04                                                                                                          3405.1.0        
IN     05                                                                                                          3406.1.0        
IN     02                                                                                                          3407.1.0        
IN     17                                                                                                          3408.1.0        
IN     45                                                                                                          3409.1.0        
IN     58                                                                                                          3410.1.0        
IN     28                                                                                                          3411.1.0        
IN     00                                                                                                          3412.1.0(2)     
IN     05                                                                                                          3414.1.0        
IN     00                                                                                                          3415.1.0        
IN     ff                                                                                                          3416.1.0(9)     
IN     00                                                                                                          3424.1.0(5)     
IN     59                                                                                                          3430.1.0        
IN     0b                                                                                                          3431.1.0        
IN     0d                                                                                                          3432.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3433.1.0        
       01 0d                                                                                                       3433.1.32       
IN     7e                                                                                                          3434.1.0        
IN     9d                                                                                                          3435.1.0        
IN     32                                                                                                          3436.1.0        
IN     81                                                                                                          3437.1.0        
IN     10                                                                                                          3438.1.0        
IN     16                                                                                                          3439.1.0        
IN     04                                                                                                          3440.1.0        
IN     05                                                                                                          3441.1.0        
IN     02                                                                                                          3442.1.0        
IN     17                                                                                                          3443.1.0        
IN     45                                                                                                          3444.1.0        
IN     58                                                                                                          3445.1.0        
IN     28                                                                                                          3446.1.0        
IN     00                                                                                                          3447.1.0(2)     
IN     05                                                                                                          3449.1.0        
IN     00                                                                                                          3450.1.0        
IN     ff                                                                                                          3451.1.0(9)     
IN     00                                                                                                          3459.1.0(5)     
IN     59                                                                                                          3465.1.0        
IN     0b                                                                                                          3466.1.0        
IN     0d                                                                                                          3467.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3468.1.0        
       01 0d                                                                                                       3468.1.32       
IN     7e                                                                                                          3469.1.0        
IN     9d                                                                                                          3470.1.0        
IN     32                                                                                                          3471.1.0        
IN     81                                                                                                          3472.1.0        
IN     10                                                                                                          3473.1.0        
IN     16                                                                                                          3474.1.0        
IN     04                                                                                                          3475.1.0        
IN     05                                                                                                          3476.1.0        
IN     02                                                                                                          3477.1.0        
IN     17                                                                                                          3478.1.0        
IN     45                                                                                                          3479.1.0        
IN     58                                                                                                          3480.1.0        
IN     28                                                                                                          3481.1.0        
IN     00                                                                                                          3482.1.0(2)     
IN     05                                                                                                          3484.1.0        
IN     00                                                                                                          3485.1.0        
IN     ff                                                                                                          3486.1.0(9)     
IN     00                                                                                                          3494.1.0(5)     
IN     59                                                                                                          3500.1.0        
IN     0b                                                                                                          3501.1.0        
IN     0d                                                                                                          3502.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3503.1.0        
       01 0d                                                                                                       3503.1.32       
IN     7e                                                                                                          3504.1.0        
IN     9d                                                                                                          3505.1.0        
IN     32                                                                                                          3506.1.0        
IN     81                                                                                                          3507.1.0        
IN     10                                                                                                          3508.1.0        
IN     16                                                                                                          3509.1.0        
IN     04                                                                                                          3510.1.0        
IN     05                                                                                                          3511.1.0        
IN     02                                                                                                          3512.1.0        
IN     17                                                                                                          3513.1.0        
IN     46                                                                                                          3514.1.0        
IN     00                                                                                                          3515.1.0        
IN     28                                                                                                          3516.1.0        
IN     00                                                                                                          3517.1.0(2)     
IN     05                                                                                                          3519.1.0        
IN     00                                                                                                          3520.1.0        
IN     ff                                                                                                          3521.1.0(9)     
IN     00                                                                                                          3529.1.0(5)     
IN     02                                                                                                          3535.1.0        
IN     0b                                                                                                          3536.1.0        
IN     0d                                                                                                          3537.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3538.1.0        
       01 0d                                                                                                       3538.1.32       
IN     7e                                                                                                          3539.1.0        
IN     9d                                                                                                          3540.1.0        
IN     32                                                                                                          3541.1.0        
IN     81                                                                                                          3542.1.0        
IN     10                                                                                                          3543.1.0        
IN     16                                                                                                          3544.1.0        
IN     04                                                                                                          3545.1.0        
IN     05                                                                                                          3546.1.0        
IN     02                                                                                                          3547.1.0        
IN     17                                                                                                          3548.1.0        
IN     46                                                                                                          3549.1.0        
IN     00                                                                                                          3550.1.0        
IN     28                                                                                                          3551.1.0        
IN     00                                                                                                          3552.1.0(2)     
IN     05                                                                                                          3554.1.0        
IN     00                                                                                                          3555.1.0        
IN     ff                                                                                                          3556.1.0(9)     
IN     00                                                                                                          3564.1.0(5)     
IN     02                                                                                                          3570.1.0        
IN     0b                                                                                                          3571.1.0        
IN     0d                                                                                                          3572.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3573.1.0        
       01 0d                                                                                                       3573.1.32       
IN     7e                                                                                                          3574.1.0        
IN     9d                                                                                                          3575.1.0        
IN     32                                                                                                          3576.1.0        
IN     81                                                                                                          3577.1.0        
IN     10                                                                                                          3578.1.0        
IN     16                                                                                                          3579.1.0        
IN     04                                                                                                          3580.1.0        
IN     05                                                                                                          3581.1.0        
IN     02                                                                                                          3582.1.0        
IN     17                                                                                                          3583.1.0        
IN     46                                                                                                          3584.1.0        
IN     00                                                                                                          3585.1.0        
IN     28                                                                                                          3586.1.0        
IN     00                                                                                                          3587.1.0(2)     
IN     05                                                                                                          3589.1.0        
IN     00                                                                                                          3590.1.0        
IN     ff                                                                                                          3591.1.0(9)     
IN     00                                                                                                          3599.1.0(5)     
IN     02                                                                                                          3605.1.0        
IN     0b                                                                                                          3606.1.0        
IN     0d                                                                                                          3607.1.0        
OUT    7e 9d 32 81  10 29 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 89      3608.1.0        
       01 0d                                                                                                       3608.1.32       
IN     7e                                                                                                          3609.1.0        
IN     9d                                                                                                          3610.1.0        
IN     32                                                                                                          3611.1.0        
